location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
DC01,SKU0001,60,26,47,13.88,2025-10-14
DC01,SKU0002,64,14,49,2.87,2025-09-15
DC01,SKU0003,62,19,64,13.8,2025-11-03
DC01,SKU0004,57,18,55,3.53,2025-11-22
DC01,SKU0005,61,22,55,3.0,2025-12-19
DC01,SKU0006,56,28,50,8.59,2025-11-28
DC01,SKU0007,59,13,40,12.45,2025-12-17
DC01,SKU0008,69,12,36,14.08,2025-12-11
DC01,SKU0009,61,12,60,8.66,2025-12-02
DC01,SKU0010,47,28,68,5.96,2025-11-03
DC01,SKU0011,66,27,63,5.54,2025-12-02
DC01,SKU0012,61,18,37,10.12,2025-12-03
DC01,SKU0013,47,20,22,1.53,2025-12-10
DC01,SKU0014,56,19,44,3.42,2025-12-11
DC01,SKU0015,47,21,40,14.07,2025-10-20
DC01,SKU0016,55,25,51,13.77,2025-10-01
DC01,SKU0017,53,24,68,9.52,2025-10-22
DC01,SKU0018,50,16,58,3.16,2025-09-20
DC01,SKU0019,65,19,24,4.83,2025-10-26
DC01,SKU0020,45,10,57,11.16,2025-09-24
DC01,SKU0021,74,23,57,12.51,2025-12-04
DC01,SKU0022,74,20,67,10.13,2025-11-01
DC01,SKU0023,48,18,42,13.02,2025-12-06
DC01,SKU0024,63,28,41,9.79,2025-09-21
DC01,SKU0025,56,15,55,11.41,2025-12-04
DC01,SKU0026,45,10,43,1.74,2025-11-10
DC01,SKU0027,67,16,32,7.26,2025-09-04
DC01,SKU0028,66,16,45,14.72,2025-11-13
DC01,SKU0029,67,17,39,3.15,2025-10-30
DC01,SKU0030,62,24,66,4.4,2025-12-25
DC01,SKU0031,39,13,38,8.01,2025-10-05
DC01,SKU0032,57,27,56,1.55,2025-11-11
DC01,SKU0033,66,14,44,14.37,2025-11-05
DC01,SKU0034,63,23,58,7.99,2025-11-17
DC01,SKU0035,63,28,42,7.82,2025-12-10
DC01,SKU0036,53,12,32,11.23,2025-09-14
DC01,SKU0037,67,23,43,11.83,2025-11-21
DC01,SKU0038,69,11,32,9.95,2025-12-18
DC01,SKU0039,48,26,42,5.91,2025-10-01
DC01,SKU0040,51,19,29,11.3,2025-12-21
DC01,SKU0041,65,10,59,11.17,2025-12-14
DC01,SKU0042,56,26,35,4.71,2025-12-05
DC01,SKU0043,46,28,25,10.14,2025-10-01
DC01,SKU0044,59,11,23,14.37,2025-10-29
DC01,SKU0045,67,18,38,12.56,2025-10-16
DC01,SKU0046,62,21,24,4.97,2025-12-15
DC01,SKU0047,55,19,43,1.3,2025-12-20
DC01,SKU0048,67,26,57,3.06,2025-10-04
DC01,SKU0049,51,25,33,14.27,2025-09-13
DC01,SKU0050,58,13,44,9.25,2025-11-25
DC01,SKU0051,49,13,50,7.4,2025-12-12
DC01,SKU0052,62,23,48,2.1,2025-10-24
DC01,SKU0053,53,13,57,14.06,2025-10-05
DC01,SKU0054,67,20,28,2.79,2025-10-27
DC01,SKU0055,54,15,51,10.98,2025-12-12
DC01,SKU0056,64,10,57,11.72,2025-10-17
DC01,SKU0057,53,18,44,2.33,2025-09-05
DC01,SKU0058,58,17,47,7.92,2025-11-18
DC01,SKU0059,72,23,34,12.17,2025-12-27
DC01,SKU0060,61,15,50,4.27,2025-12-24
DC01,SKU0061,65,10,40,4.54,2025-12-04
DC01,SKU0062,63,20,68,6.83,2025-12-23
DC01,SKU0063,63,13,32,14.93,2025-11-29
DC01,SKU0064,68,24,58,13.34,2025-12-07
DC01,SKU0065,52,16,33,13.51,2025-09-05
DC01,SKU0066,45,25,35,14.55,2025-11-13
DC01,SKU0067,59,16,58,3.09,2025-11-08
DC01,SKU0068,64,12,29,4.39,2025-11-16
DC01,SKU0069,63,22,27,1.43,2025-12-23
DC01,SKU0070,57,25,25,9.3,2025-12-16
DC01,SKU0071,57,22,68,14.4,2025-09-08
DC01,SKU0072,78,28,62,13.1,2025-12-07
DC01,SKU0073,66,28,62,2.51,2025-09-04
DC01,SKU0074,63,14,25,11.15,2025-10-23
DC01,SKU0075,59,24,27,13.66,2025-11-07
DC01,SKU0076,40,18,42,5.34,2025-12-18
DC01,SKU0077,61,28,55,4.48,2025-12-09
DC01,SKU0078,53,26,67,2.42,2025-09-01
DC01,SKU0079,52,23,38,9.89,2025-12-08
DC01,SKU0080,58,16,39,14.58,2025-11-13
DC02,SKU0001,55,19,26,2.48,2025-12-25
DC02,SKU0002,80,20,26,12.54,2025-10-20
DC02,SKU0003,59,12,64,6.41,2025-10-15
DC02,SKU0004,75,18,28,10.32,2025-11-19
DC02,SKU0005,48,10,22,5.26,2025-11-07
DC02,SKU0006,81,10,63,14.33,2025-09-24
DC02,SKU0007,76,13,26,6.05,2025-11-16
DC02,SKU0008,63,19,41,12.54,2025-11-12
DC02,SKU0009,47,10,58,13.31,2025-10-04
DC02,SKU0010,58,18,52,9.03,2025-10-18
DC02,SKU0011,52,11,37,12.26,2025-10-16
DC02,SKU0012,54,29,21,7.35,2025-11-16
DC02,SKU0013,67,11,60,7.98,2025-12-19
DC02,SKU0014,62,14,49,13.46,2025-12-24
DC02,SKU0015,67,11,28,10.95,2025-10-22
DC02,SKU0016,45,26,69,4.59,2025-11-15
DC02,SKU0017,58,16,25,2.4,2025-12-18
DC02,SKU0018,51,23,35,6.65,2025-09-01
DC02,SKU0019,76,29,36,7.59,2025-10-27
DC02,SKU0020,62,11,20,6.08,2025-11-30
DC02,SKU0021,61,27,38,13.36,2025-10-14
DC02,SKU0022,44,29,63,13.33,2025-09-19
DC02,SKU0023,50,17,49,1.2,2025-09-21
DC02,SKU0024,46,28,36,9.44,2025-10-12
DC02,SKU0025,51,28,27,3.07,2025-11-03
DC02,SKU0026,66,16,32,5.72,2025-09-15
DC02,SKU0027,52,16,27,8.22,2025-09-01
DC02,SKU0028,65,10,58,9.15,2025-11-28
DC02,SKU0029,49,15,36,5.0,2025-12-25
DC02,SKU0030,80,17,20,3.56,2025-11-16
DC02,SKU0031,54,19,60,5.72,2025-11-05
DC02,SKU0032,58,17,46,6.37,2025-12-17
DC02,SKU0033,62,19,48,3.67,2025-09-22
DC02,SKU0034,74,28,59,4.47,2025-11-06
DC02,SKU0035,46,18,30,12.59,2025-09-07
DC02,SKU0036,62,25,58,5.78,2025-11-30
DC02,SKU0037,58,26,39,7.81,2025-10-27
DC02,SKU0038,49,11,63,4.83,2025-11-17
DC02,SKU0039,55,19,59,3.7,2025-09-30
DC02,SKU0040,55,20,31,4.97,2025-09-11
DC02,SKU0041,65,10,20,1.72,2025-12-07
DC02,SKU0042,58,11,68,13.81,2025-11-12
DC02,SKU0043,71,10,43,5.84,2025-10-16
DC02,SKU0044,62,15,34,1.21,2025-12-07
DC02,SKU0045,53,15,20,3.91,2025-09-07
DC02,SKU0046,58,17,63,14.47,2025-12-06
DC02,SKU0047,51,21,24,1.96,2025-09-08
DC02,SKU0048,75,24,20,4.3,2025-10-30
DC02,SKU0049,57,24,34,3.29,2025-11-14
DC02,SKU0050,51,14,22,3.63,2025-09-09
DC02,SKU0051,62,29,23,7.83,2025-09-28
DC02,SKU0052,65,21,52,8.98,2025-09-29
DC02,SKU0053,53,28,42,14.16,2025-12-15
DC02,SKU0054,38,21,59,8.09,2025-10-07
DC02,SKU0055,50,22,27,12.26,2025-09-27
DC02,SKU0056,75,29,29,3.33,2025-12-19
DC02,SKU0057,62,26,26,14.84,2025-09-06
DC02,SKU0058,73,19,59,3.98,2025-09-17
DC02,SKU0059,64,29,25,5.57,2025-11-23
DC02,SKU0060,57,28,29,14.66,2025-10-15
DC02,SKU0061,57,19,69,11.77,2025-10-06
DC02,SKU0062,65,27,50,8.82,2025-09-17
DC02,SKU0063,49,28,36,2.79,2025-11-25
DC02,SKU0064,62,29,63,4.34,2025-10-26
DC02,SKU0065,56,22,56,4.76,2025-09-14
DC02,SKU0066,82,27,22,3.85,2025-11-19
DC02,SKU0067,63,12,45,6.86,2025-09-16
DC02,SKU0068,59,21,44,2.91,2025-10-06
DC02,SKU0069,58,12,20,13.41,2025-09-04
DC02,SKU0070,82,17,34,1.9,2025-10-18
DC02,SKU0071,58,12,68,6.46,2025-10-05
